fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,cycle,power,time
4 2 24 32 32 112 112 8 8 16 2 1 2 4 2 16 8 8 2,77886.5000,0.0666,28799.6908
4 2 32 130 24 112 112 32 32 16 2 5 2 4 4 16 8 16 2,71602.5000,0.0834,28826.3175
4 2 32 64 32 112 112 8 8 12 1 5 1 2 2 16 8 32 2,78139.0000,0.0638,28827.5019
4 2 16 128 16 112 112 16 16 20 2 4 2 2 2 8 2 8 2,74947.0000,0.0779,28827.6379
4 2 8 128 24 112 112 16 16 20 2 4 2 8 2 8 8 16 2,70549.0000,0.0914,28879.2756
4 2 32 128 32 112 112 8 8 20 1 5 1 4 4 16 4 32 2,76090.0000,0.0746,28910.6900
4 2 8 64 32 112 112 8 8 20 1 3 1 4 2 8 4 32 2,76760.0000,0.0675,28913.1142
4 2 40 32 16 112 112 24 24 20 1 5 1 4 4 8 4 16 2,74932.5000,0.0731,28920.3499
4 2 40 64 16 112 112 24 24 16 2 4 2 2 4 16 8 16 2,73865.0000,0.0761,28929.1979
4 2 24 32 16 112 112 16 16 12 1 5 1 4 2 32 2 32 2,74873.0000,0.0622,28933.4300
4 2 40 128 16 112 112 8 8 12 2 5 2 2 4 16 2 8 2,77408.5000,0.0700,28946.7659
4 2 40 96 16 112 112 16 16 20 2 3 2 2 4 16 4 16 2,73732.5000,0.0769,28947.1733
4 2 32 96 32 112 112 16 16 8 2 3 2 8 4 16 2 8 2,70596.0000,0.0679,28961.1852
4 2 32 32 32 112 112 8 8 12 1 2 1 2 8 32 8 16 2,78760.0000,0.0610,28972.1422
4 2 8 96 32 112 112 32 32 8 1 5 1 8 2 8 8 32 2,71575.0000,0.0678,29028.4232
4 2 32 32 16 112 112 24 24 8 1 3 1 4 2 32 8 8 2,74952.5000,0.0603,29058.2823
4 2 16 130 24 112 112 16 16 16 1 5 1 2 4 8 4 32 2,73723.0000,0.0721,29059.8970
4 2 8 64 32 112 112 24 24 8 1 4 1 8 2 32 2 16 2,71550.0000,0.0621,29110.1344
4 2 32 32 16 112 112 8 8 12 1 3 1 2 2 16 2 8 2,79348.5000,0.0582,29197.4749
4 3 24 96 32 112 112 24 24 16 2 2 2 4 2 8 2 16 2,72710.5000,0.0798,35719.1082
4 3 24 96 24 112 112 32 32 12 1 2 1 4 4 8 8 8 2,71927.0000,0.0742,35764.5539
4 3 24 96 32 112 112 16 16 12 1 5 1 8 4 16 8 8 2,70098.5000,0.0740,35822.9733
4 3 24 96 16 112 112 8 8 20 1 4 1 4 2 32 8 32 2,75744.5000,0.0761,35863.5845
4 3 24 96 16 112 112 8 8 8 2 3 2 4 4 16 8 8 2,75558.5000,0.0738,35880.7743
4 3 24 96 32 112 112 24 24 16 2 5 2 8 2 16 2 16 2,69663.0000,0.0857,35887.8532
4 3 24 96 24 112 112 32 32 20 1 2 1 4 8 32 4 8 2,71644.5000,0.0844,35927.8685
4 3 24 96 24 112 112 32 32 20 2 4 2 2 8 32 4 16 2,73140.0000,0.0980,35946.2681
4 3 24 96 24 112 112 24 24 8 1 2 1 8 4 32 8 8 2,70289.0000,0.0682,35964.0865
4 3 24 96 32 112 112 8 8 16 1 4 1 2 2 16 2 32 2,77878.0000,0.0690,36010.0429
4 3 24 96 16 112 112 32 32 8 2 4 2 2 4 16 4 32 2,73409.5000,0.0811,36058.4342
4 3 24 96 32 112 112 24 24 12 1 2 1 8 2 32 2 16 2,70919.5000,0.0701,36133.3343
4 3 24 96 16 112 112 32 32 16 2 4 2 8 2 32 8 16 2,69617.5000,0.0940,36170.4386
